Station	Parameter	Sampling time	Year	Concentration_TOC	Unit
"Vorma, Minnesund"	Fargetall	19.06.2014 00:00	2014	14	mg/l Pt
"Vorma, Minnesund"	Fargetall	22.07.2014 00:00	2014	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	08.08.2014 00:00	2014	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	11.09.2014 00:00	2014	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	14.10.2014 00:00	2014	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	03.11.2014 00:00	2014	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	16.12.2014 00:00	2014	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	26.01.2015 00:00	2015	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	18.02.2015 00:00	2015	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	24.03.2015 00:00	2015	14	mg/l Pt
"Vorma, Minnesund"	Fargetall	14.04.2015 00:00	2015	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	18.05.2015 00:00	2015	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	17.06.2015 00:00	2015	13	mg/l Pt
"Vorma, Minnesund"	Fargetall	16.07.2015 00:00	2015	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	20.08.2015 00:00	2015	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	24.09.2015 00:00	2015	14	mg/l Pt
"Vorma, Minnesund"	Fargetall	19.10.2015 00:00	2015	13	mg/l Pt
"Vorma, Minnesund"	Fargetall	04.11.2015 00:00	2015	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	10.12.2015 00:00	2015	12	mg/l Pt
"Vorma, Minnesund"	Fargetall	21.04.2016 00:00	2016	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	25.05.2016 00:00	2016	9	mg/l Pt
"Vorma, Minnesund"	Fargetall	15.06.2016 00:00	2016	13	mg/l Pt
"Vorma, Minnesund"	Fargetall	22.07.2016 00:00	2016	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	18.08.2016 00:00	2016	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	21.09.2016 00:00	2016	9	mg/l Pt
"Vorma, Minnesund"	Fargetall	26.10.2016 00:00	2016	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	14.11.2016 00:00	2016	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	09.12.2016 00:00	2016	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	18.01.2018 00:00	2018	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	15.02.2018 00:00	2018	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	22.03.2018 00:00	2018	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	11.04.2018 00:00	2018	9	mg/l Pt
"Vorma, Minnesund"	Fargetall	16.05.2018 00:00	2018	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	08.06.2018 00:00	2018	13	mg/l Pt
"Vorma, Minnesund"	Fargetall	06.07.2018 00:00	2018	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	10.08.2018 00:00	2018	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	18.09.2018 00:00	2018	16	mg/l Pt
"Vorma, Minnesund"	Fargetall	18.10.2018 00:00	2018	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	15.11.2018 00:00	2018	13	mg/l Pt
"Vorma, Minnesund"	Fargetall	14.12.2018 00:00	2018	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	16.01.2019 00:00	2019	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	15.02.2019 00:00	2019	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	22.03.2019 00:00	2019	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	10.04.2019 00:00	2019	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	14.05.2019 00:00	2019	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	07.06.2019 00:00	2019	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	05.07.2019 00:00	2019	15	mg/l Pt
"Vorma, Minnesund"	Fargetall	09.08.2019 00:00	2019	14	mg/l Pt
"Vorma, Minnesund"	Fargetall	02.09.2019 00:00	2019	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	30.09.2019 00:00	2019	14	mg/l Pt
"Vorma, Minnesund"	Fargetall	12.11.2019 00:00	2019	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	14.01.2020 00:00	2020	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	12.02.2020 00:00	2020	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	23.03.2020 00:00	2020	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	06.04.2020 00:00	2020	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	13.05.2020 00:00	2020	9	mg/l Pt
"Vorma, Minnesund"	Fargetall	03.06.2020 00:00	2020	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	29.06.2020 00:00	2020	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	05.08.2020 00:00	2020	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	01.09.2020 00:00	2020	11	mg/l Pt
"Vorma, Minnesund"	Fargetall	30.09.2020 00:00	2020	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	11.11.2020 00:00	2020	10	mg/l Pt
"Vorma, Minnesund"	Fargetall	11.12.2020 00:00	2020	15	mg/l Pt
